地區,地名,代號,緯度,經度
新竹縣北埔鄉,外坪,C1D64,24.6444,121.0910
花蓮縣花蓮市,花蓮,46699,23.9751,121.6133
宜蘭縣大同鄉,留茂安,01U07,24.532516,121.452501
新竹縣五峰鄉,清泉,01D11,24.57529955,121.102272
花蓮縣壽豐鄉,大坑,C0T9E,23.8806,121.5820
新北市三峽區,熊空山,01AG1,24.8684464,121.4586639
新竹縣五峰鄉,雪霸,C0D55,24.5270,121.1161
桃園市復興區,復興,C0C46,24.8202,121.3523
花蓮縣壽豐鄉,月眉山,C0T9A,23.8099,121.5398
花蓮縣秀林鄉,太魯閣,A0T78,24.2027288,121.481192
宜蘭縣五結鄉,五結,C0U78,24.6864,121.7979
花蓮縣光復鄉,東富,01T9L,23.6792734,121.4749957
宜蘭縣大同鄉,四季,01U78,24.4655198,121.40259395
新竹縣尖石鄉,梅花,C0D36,24.6783,121.2086
新北市新店區,新店,A0A9M,24.92838555,121.5339701
花蓮縣壽豐鄉,水璉,C0T9F,23.7971,121.5425
花蓮縣壽豐鄉,壽豐,C1T89,23.8691,121.5079
基隆市七堵區,五堵,01B03,25.08153455,121.687354
花蓮縣秀林鄉,和中,88T83,24.2732016,121.739607
臺北市南港區,舊莊,A1AC5,25.0402906,121.6194992
花蓮縣壽豐鄉,中興,C1T92,23.7695,121.4987
新北市新店區,四十份,C1A9N,24.9342,121.5933
臺北市南港區,九如,A1AC6,25.0254638,121.59958735
新竹縣尖石鄉,梅花,01D18,24.65325475,121.20954445
新竹縣尖石鄉,西丘斯山,21D35,24.5877075,121.3853073
花蓮縣鳳林鎮,鳳林,C1T93,23.7436,121.4456
新竹縣尖石鄉,鳥嘴山,C1D40,24.7191,121.2839
新北市新店區,翡翠,L1A79,24.909167,121.58
臺北市信義區,三興國小,A1AA0,25.029467,121.558267
桃園市龍潭區,石門,21C05,24.8417091,121.240834
宜蘭縣冬山鄉,冬山,01U13,24.6546802,121.7634795
苗栗縣泰安鄉,泰安,C1E72,24.4890,120.9680
臺北市文山區,北政國中,A1AB0,24.9849797,121.5782554
臺北市北投區,竹湖,A1AD2,25.17674839999999,121.5327921
苗栗縣南庄鄉,南礦,C1E67,24.5383,121.0028
花蓮縣萬榮鄉,西林,C0T90,23.8119,121.4415
臺北市信義區,四獸,A1AG4,25.0351328,121.5833085
新竹縣關西鎮,關西,C0D39,24.7982,121.1739
苗栗縣南庄鄉,鳳美,C1E48,24.5548,121.0347
新北市樹林區,山佳,C0A52,24.9749,121.4020
臺北市文山區,文山,C0AC8,25.0024,121.5757
臺北市文山區,脾腹,A1AB1,24.98800715,121.57527155
桃園市復興區,霞雲,21C14,24.8167546,121.349601
新北市瑞芳區,鼻頭角,C0A95,25.1290,121.9234
新北市三峽區,三峽,C0AC6,24.9390,121.3697
宜蘭縣礁溪鄉,礁溪,C0U60,24.8175,121.7655
花蓮縣吉安鄉,吉安,C1T85,23.9733,121.5628
花蓮縣萬榮鄉,西林,01T56,23.85668755,121.35898425
臺北市信義區,挹翠,A1AC7,25.018599,121.574398
花蓮縣鳳林鎮,鳳義坑,swc08,23.7519989,121.43505
臺北市陽明山,鞍部,46691,25.1826,121.5297
桃園市復興區,高義,21C08,24.7127756,121.359303
新竹縣橫山鄉,橫山,C0D54,24.7112,121.1169
桃園市龍潭區,石門,01C40,24.8417091,121.240834
新竹縣尖石鄉,玉峰,21D15,24.660015,121.301293
花蓮縣光復鄉,光復,C0T96,23.6607,121.4250
宜蘭縣大同鄉,南山,C1U72,24.4374,121.3817
宜蘭縣冬山鄉,冬山,C0U68,24.6324,121.7935
新北市汐止區,汐止,C0AH0,25.0669,121.6588
臺北市文山區,貓空,A1AD6,24.98293725,121.59025265
花蓮縣萬榮鄉,大觀,C1T94,23.7142,121.3731
宜蘭縣壯圍鄉,壯圍,C0U62,24.7437,121.7897
臺北市信義區,信義,C0AC7,25.0378,121.5646
新北市三峽區,三峽,01A22,24.8711008,121.40738465
臺北市大安區,福州,A1AG6,25.0160102,121.55484
花蓮縣秀林鄉,富世,C0T9C,24.1482,121.6296
臺北市文山區,博嘉國小,A1AA9,25.002102,121.575856
花蓮縣光復鄉,大農,C1T97,23.6152,121.4133
宜蘭縣礁溪鄉,五峰,01U46,24.8342905,121.7472136
新北市汐止區,社后橋,01AG0,25.0635885,121.6333882
臺北市信義區,市政中心,A1AA8,25.037525,121.563782
宜蘭縣頭城鎮,北關,C1U58,24.9072,121.8734
花蓮縣光復鄉,大興,swc11,23.6374045,121.38894255
花蓮縣鳳林鎮,鳳林山,C0T9G,23.7358,121.4198
臺北市陽明山,竹子湖,01A42,25.1536396,121.547862
桃園市復興區,巴陵,21C07,24.687471,121.393886
花蓮縣萬榮鄉,太安,C1T95,23.6667,121.3701
臺北市南港區,南港,C0A9G,25.0554,121.6029
桃園市復興區,蘇樂,88C69,24.692982,121.375147
臺北市陽明山,竹子湖,46693,25.1621,121.5445
花蓮縣秀林鄉,布洛灣,C1T83,24.1718,121.5713
花蓮縣豐濱鄉,加路蘭山,C0T9H,23.6829,121.5274
花蓮縣秀林鄉,三棧,C1Z09,24.1170,121.6051
臺北市北投區,大屯山,C0AC4,25.1757,121.5224
臺北市大安區,公館,C1A73,25.0144,121.5395
臺北市大同區,太平國小,A1A9X,25.061402,121.511472
新北市貢寮區,福隆,C0A88,25.0178,121.9421
花蓮縣壽豐鄉,鯉魚潭,C0T87,23.9356,121.5089
花蓮縣秀林鄉,水源,C0T9B,23.9919,121.5372
新竹縣關西鎮,關西(3,01D30,24.792356,121.1759251
新北市新店區,屈尺,C0A58,24.9224,121.5463
臺北市士林區,溪山,A1AC9,25.119671,121.579593
高雄市那瑪夏區,表湖,C0V15,23.2602,120.6647
桃園市復興區,嘎拉賀,21C09,24.6394839,121.407362
苗栗縣南庄鄉,南庄,C0E43,24.6018,121.0002
嘉義縣竹崎鄉,樟腦寮(2,01L48,23.532862,120.602557
宜蘭縣蘇澳鎮,蘇澳,46706,24.5967,121.8574
臺北市北投區,石牌,C0A9B,25.1163,121.5138
新竹縣峨眉鄉,峨眉,C0D43,24.6905,121.0172
桃園市龍潭區,龍潭,C0C67,24.8701,121.2214
嘉義縣竹崎鄉,樟腦寮,C1M48,23.5370,120.6078
花蓮縣豐濱鄉,豐濱,C0T9I,23.5841,121.5143
新北市鶯歌區,鶯歌,C0AD5,24.9515,121.3463
苗栗縣南庄鄉,南庄(1,01E17,24.599501,120.9986637
花蓮縣新城鄉,北埔,01T50,24.0348966,121.606409
臺北市士林區,菁山,A1AD0,25.1546476,121.5586412
花蓮縣新城鄉,新城,C0T84,24.0379,121.6095
花蓮縣光復鄉,富源,C0Z08,23.5876,121.3782
新北市土城區,土城,C0AD4,24.9732,121.4452
臺北市北投區,貴子,A1AD8,25.1519009,121.4906268
嘉義縣番路鄉,龍美,C1M39,23.4067,120.6544
雲林縣古坑鄉,草嶺,C0K24,23.5956,120.6935
宜蘭縣頭城鎮,頭城,C1U86,24.8532,121.8308
桃園市龜山區,龍壽社區,01C57,25.010803,121.387908
新竹縣竹東鎮,竹東,C0D56,24.7671,121.0579
嘉義縣番路鄉,小公田(2,01L36,23.4175793,120.650847
新竹縣尖石鄉,鎮西堡,21D17,24.540149,121.2980899
新北市石門區,富貴角,C0A92,25.2638,121.5653
花蓮縣秀林鄉,銅門,C1T86,23.9660,121.4927
新北市中和區,中和,C0AG9,24.9926,121.4904
新竹縣尖石鄉,下田埔,88D61,24.5964144,121.28211035
臺北市士林區,平等國小,A1AA2,25.129443,121.576607
臺北市北投區,大屯國小,A1A9T,25.154895,121.503983
雲林縣古坑鄉,華山,swc10,24.4483032,120.7599331
南投縣信義鄉,玉山,46755,23.4876,120.9595
嘉義縣竹崎鄉,石磐龍,C1M61,23.4966,120.6635
嘉義縣番路鄉,大湖,C1M57,23.4750,120.6202
臺北市北投區,北投國小,A1A9V,25.133729,121.500862
花蓮縣豐濱鄉,豐濱,01T73,23.601326,121.521195
嘉義縣番路鄉,大湖山,01L39,23.3383329,120.5972222
花蓮縣瑞穗鄉,奇美國小,O1T80,23.4969819,121.4461535
南投縣信義鄉,丹大,C1I05,23.7537,121.1411
臺北市內湖區,大湖,A1AG2,25.0822805,121.6044519
南投縣信義鄉,望鄉,C1I06,23.6191,120.9282
新北市金山區,三和,C0A93,25.2346,121.5946
高雄市桃源區,建山國小,81V82,23.1054344,120.6825485
桃園市大溪區,大溪,C0C63,24.8829,121.2655
臺北市內湖區,內湖,C0A9F,25.0794,121.5755
雲林縣古坑鄉,草嶺(2,01J97,23.5810365,120.6945628
基隆市,基隆,46694,25.1333,121.7405
新北市汐止區,五指山,C0A87,25.1322,121.6087
高雄市桃源區,高中,C1V23,23.1349,120.7167
高雄市六龜區,高中(2,O1V54,22.9932715,120.6354672
臺北市內湖區,碧湖國小,A1AA4,25.084627,121.591423
苗栗縣泰安鄉,橫龍山,01E03,24.4871159,120.9630051
新竹縣尖石鄉,白石,21D16,24.55521135,121.218091
新北市三芝區,三芝,C0AD0,25.2581,121.5019
臺北市北投區,稻香,A1AG3,25.1431287,121.4860398
新竹縣新埔鎮,新埔(1,01D31,24.82783259999999,121.0814627
南投縣埔里鎮,凌霄,C1H88,24.0168,121.0149
新竹縣寶山鄉,寶山,C0D58,24.7350,121.0252
高雄市桃源區,御油山,C1V30,23.0020,120.7154
南投縣仁愛鄉,萬大,C1I02,23.9798,121.1323
臺北市,臺北,46692,25.0377,121.5149
嘉義縣番路鄉,頭凍,C1M60,23.4064,120.6033
高雄市那瑪夏區,民權,O1V52,23.2294492,120.6947837
嘉義縣阿里山鄉,新美國小,81M67,23.3378601,120.6830902
新北市板橋區,板橋,46688,25.0096111,121.4592438
嘉義縣大埔鄉,馬頭山,C0M41,23.3244,120.5820
新竹縣芎林鄉,飛鳳山,C1D63,24.7665,121.1192
南投縣仁愛鄉,廬山,C0I01,24.0333,121.1818
新北市永和區,永和,C0AH1,25.0113,121.5081
臺北市水源路,中正橋,01A41,25.0134171,121.5272951
臺北市南港區,玉成,A1AB4,25.0418289,121.585864
臺北市士林區,明德,A1AC8,25.112834,121.56488
桃園市觀音區,觀音,C0C59,25.0271,121.1533
基隆市七堵區,復興國小,NUP49,25.107302,121.665497
臺北市士林區,雙溪,A1AB8,25.106057,121.5639321
南投縣鹿谷鄉,溪頭,C1I10,23.6618,120.8076
新北市新莊區,新莊,C0ACA,25.0515,121.4468
南投縣仁愛鄉,奧萬大,C1I32,23.9530,121.1785
花蓮縣秀林鄉,大禹嶺,C0T79,24.1861,121.3161
桃園市楊梅區,楊梅,C0C66,24.9124,121.1430
臺北市北投區,奇岩,A1AB7,25.1283305,121.5060486
臺北市士林區,天母,C0A9C,25.1175,121.5372
高雄市桃源區,寶山,O1V51,23.0377676,120.707438
臺北市士林區,福德,A1AB6,25.1012273,121.5072629
高雄市茂林區,多納林道,C1V78,22.8880,120.7379
高雄市那瑪夏區,民生(達卡努瓦村,C1V16,23.2798,120.7053
臺北市中山區,劍南,A1AD5,25.084853,121.555592
臺北市內湖區,安泰,A1AD3,25.0810012,121.616424
桃園市八德區,八德,C0C49,24.9287,121.2833
臺北市萬華區,雙園,A1AB2,25.0311756,121.494795
苗栗縣泰安鄉,八卦,C1E70,24.4918,120.9276
桃園市龜山區,龜山,C0C64,25.0303,121.3757
苗栗縣泰安鄉,南勢山,C1E68,24.4217,120.9238
臺北市內湖區,大崙尾山,C0A99,25.1063,121.5736
臺北市北投區,桃源國中,A1A9U,25.134767,121.477391
新北市萬里區,大坪,C0A86,25.1659,121.6330
花蓮縣秀林鄉,天祥,C0T82,24.1796,121.4956
新北市貢寮區,三貂角,C0A97,25.0076,122.0021
新北市石門區,富貴角,01A35,25.2995149,121.5369174
花蓮縣秀林鄉,龍澗,C1T98,24.0233,121.4113
南投縣水里鄉,東埔,01H40,23.8179347,120.8538549
花蓮縣豐濱鄉,靜浦,C0T9M,23.4552,121.4950
臺東縣綠島鄉,綠島,C0S73,22.6672,121.4753
南投縣信義鄉,新高口,C1I44,23.4787,120.8789
臺北市中山區,劍潭,A1AG5,25.0861769,121.5553568
苗栗縣三灣鄉,大河,C0E85,24.61732499999999,120.946094
南投縣仁愛鄉,南豐,88H89,24.0277107,121.14350285
南投縣仁愛鄉,仁愛,C0I39,24.0214822,121.132201
桃園市平鎮區,平鎮,C0C65,24.8975,121.2146
嘉義縣竹崎鄉,奮起湖,C0M53,23.4939,120.6993
苗栗縣泰安鄉,馬都安,C0E61,24.4513,120.9302
臺東縣蘭嶼鄉,蘭嶼,46762,22.0370,121.5583
臺中市和平區,武陵,D2F23,24.3975297,121.3072787
南投縣信義鄉,卡奈托灣,C1I14,23.7544,121.0879
花蓮縣玉里鎮,高寮,C1T99,23.3942,121.3568
嘉義縣阿里山鄉,新阿里山,46773,23.508902,120.802147
花蓮縣玉里鎮,玉里,C0Z06,23.3215,121.3397
臺東縣長濱鄉,樟原(1,01S27,23.412184,121.482117
新北市蘆洲區,蘆洲,C0AD3,25.0866,121.4723
臺北市士林區,社子,C0A98,25.1095,121.4697
花蓮縣秀林鄉,慈恩,C1T81,24.1920,121.3884
臺北市士林區,士林,C0A9E,25.0903,121.5030
桃園市蘆竹區,蘆竹,C0C62,25.0843,121.2658
花蓮縣萬榮鄉,紅葉,C1Z03,23.4931,121.3388
新北市淡水區,淡水,46690,25.1649,121.4489
嘉義縣阿里山鄉,阿里山,46753,23.5082,120.8132
南投縣仁愛鄉,昆陽,C0H99,24.1213,121.2736
桃園市桃園區,桃園,C0C48,24.9924,121.3232
嘉義縣梅山鄉,瑞里,C1M62,23.5451,120.6752
高雄市桃源區,楠溪,C1V46,23.4364,120.8926
高雄市桃源區,藤枝,C1V60,23.0720,120.7570
南投縣仁愛鄉,武界,C1I03,23.9132,121.0525
臺北市北投區,關渡,C1AC5,25.1335,121.4693
南投縣仁愛鄉,楓樹林,C1I33,23.9868,121.0761
花蓮縣秀林鄉,洛韶,C1T80,24.2046,121.4540
南投縣信義鄉,豐丘,C1I29,23.6682,120.8874
臺東縣成功鎮,成功,46761,23.0975,121.3734
南投縣信義鄉,神木村,C0H9A,23.5327,120.8437
南投縣信義鄉,東埔,C1I35,23.5563,120.9251
臺中市和平區,雪嶺,C1F94,24.2806,121.0266
臺北市中山區,建國,A1AB5,25.0680074,121.5360472
臺北市士林區,中洲,A1AB3,25.1023554,121.5484925
臺東縣成功鎮,南美山,C1S87,23.1503,121.3823
新竹縣新埔鎮,打鐵坑,C0D48,24.8497,121.1508
新北市五股區,五股,C0A68,25.0834,121.4350
花蓮縣瑞穗鄉,舞鶴,C0Z07,23.4681,121.3741
屏東縣泰武鄉,泰武(1,01Q25,22.591316,120.628718
花蓮縣富里鄉,六十石山,01T9J,23.222019,121.316551
南投縣水里鄉,水里,C1I27,23.8320,120.8541
南投縣仁愛鄉,合歡山,C0H9C,24.1434,121.2725
臺北市士林區,擎天,A1AD1,25.13478015,121.5324453
花蓮縣卓溪鄉,太平國小,O1T82,23.4053917,121.3199844
屏東縣春日鄉,大漢山,01R03,22.4080552,120.7511111
南投縣信義鄉,豐丘,swc06,23.6742106,120.872492
新北市金山區,金山,C0A94,25.2236,121.6440
嘉義縣太保市,大埔,01J96,23.2941855,120.5922102
嘉義縣阿里山鄉,阿里山國小,81M66,23.4690425,120.7014574
新北市八里區,八里,C0AD1,25.1502,121.4039
屏東縣三地門鄉,上德文,C1R12,22.7633,120.7044
臺中市和平區,稍來,C1F89,24.2635,121.0056
基隆市彭佳嶼,彭佳嶼,46695,25.6280,122.0797
花蓮縣富里鄉,豐南,C1S85,23.1221,121.2624
花蓮縣卓溪鄉,立山,C1Z04,23.4434,121.3274
新北市三重區,三重,C0A9I,25.0567,121.4885
南投縣信義鄉,神木,swc03,23.52707905,120.8490462
苗栗縣泰安鄉,松安,01E08,24.52044579999999,120.8370208
苗栗縣泰安鄉,松安,C1E46,24.3980,120.9860
苗栗縣三義鄉,三義,C0E53,24.4109,120.7660
新竹縣新埔鎮,新埔,C1D38,24.8474,121.0383
苗栗縣獅潭鄉,獅潭,C0E82,24.5391,120.9200
南投縣信義鄉,西巒,C1I31,23.7545,120.8838
南投縣竹山鎮,桶頭,C1I13,23.6419,120.6541
南投縣仁愛鄉,翠峰,C1H00,24.1094,121.2052
新北市林口區,林口(1,01A16,25.0665954,121.3645844
南投縣信義鄉,新興橋,C1I34,23.5633,120.8687
南投縣仁愛鄉,文文社,C1I04,23.8493,120.9935
高雄市六龜區,新發,C1V59,23.0570,120.6461
屏東縣霧台鄉,阿禮,C0R13,22.7429,120.7437
南投縣埔里鎮,埔里,C1I25,23.9619,120.9911
嘉義縣阿里山鄉,豐山,swc12,23.4496199,120.7997884
花蓮縣富里鄉,明里,C0Z02,23.2087,121.2623
南投縣埔里鎮,北坑,C1I26,23.9246,121.0069
南投縣信義鄉,和社,C1I07,23.5911,120.8889
臺中市和平區,德基,C1F9W,24.2548,121.1903
屏東縣霧台鄉,神山,O1S69,22.752972,120.728126
高雄市茂林區,萬山,C0V79,22.9059,120.6881
南投縣信義鄉,青雲,C1I15,23.7934,120.9494
苗栗縣獅潭鄉,和興,01E37,24.5158066,120.910632
苗栗縣大湖鄉,馬拉邦山,C1E71,24.3673,120.9017
臺北市中山區,大直,C0A9A,25.0780,121.5429
桃園市大園區,埔心,C0C54,25.0478,121.2260
高雄市桃源區,小關山,C1V22,23.1542,120.8136
高雄市桃源區,南天池,C1V19,23.2740,120.9118
桃園市新屋區,新屋,46705,25.0067,121.0475
臺東縣成功鎮,膽曼,81S91,23.224283,121.413688
南投縣仁愛鄉,翠華,C1I43,24.0277107,121.14350285
南投縣仁愛鄉,翠峰,01H31,24.106307,121.1986
花蓮縣卓溪鄉,卓清國小,O1T81,23.2783012,121.2727356
屏東縣萬巒鄉,來義,C0R24,22.5273,120.6251
苗栗縣泰安鄉,象鼻,C1E45,24.3686,120.9402
高雄市桃源區,溪南(特生中心,C1V58,23.0850,120.7885
臺東縣長濱鄉,忠勇,01S26,23.3273326,121.439045
花蓮縣富里鄉,明里,01T72,23.2009869,121.2487946
桃園市楊梅區,水尾,C1C51,24.9401,121.0872
南投縣仁愛鄉,瑞岩,C1H86,24.1238,121.1835
臺中市和平區,梨山,C0F86,24.2475,121.2437
花蓮縣卓溪鄉,卓樂,C1Z01,23.2970,121.2716
南投縣水里鄉,龍神橋,C1I16,23.7799,120.8715
南投縣埔里鎮,外大坪,C1I24,23.9587,120.9179
臺中市和平區,雙崎,C0F90,24.2886,120.9043
屏東縣泰武鄉,西大武山,C1R61,22.6177,120.7322
花蓮縣卓溪鄉,卓麓(4,01T22,23.3027461,121.258574
臺東縣金峰鄉,賓茂國小,O1S66,22.5325191,120.9553168
新竹縣五峰鄉,太閣南,C1D42,24.6328,121.1606
嘉義縣大埔鄉,菜瓜坪,C1M40,23.2519,120.5761
南投縣水里鄉,龍神橋,00H54,23.7789697,120.8702119
苗栗縣卓蘭鎮,白布帆,swc01,24.297474,120.899361
臺東縣長濱鄉,長濱,C0S83,23.2868,121.4120
臺北市文山區,仙跡,A1AG7,24.9909467,121.5437279
臺東縣海端鄉,向陽,C0S75,23.2484,120.9861
南投縣竹山鎮,桶頭(2,01H11,23.6366595,120.658439
南投縣仁愛鄉,阿眉,C1H9B,24.1263,120.9947
花蓮縣卓溪鄉,佳心,C0Z05,23.3455,121.2132
苗栗縣三灣鄉,大河,01E38,24.61732499999999,120.946094
屏東縣春日鄉,大漢山,C1R44,22.4053,120.7532
南投縣水里鄉,上安,swc04,23.724697,120.854265
臺東縣東河鄉,東河,C0S81,22.9727,121.3040
屏東縣萬巒鄉,赤山,C0R19,22.5923,120.6143
南投縣魚池鄉,日月潭,46765,23.8813,120.9081
臺南市東山區,崁頭山,81O96,23.2666798,120.5032196
屏東縣瑪家鄉,新瑪家,01Q92,22.7092469,120.6472615
南投縣仁愛鄉,清流(1,01H72,24.0678111,120.9582642
苗栗縣銅鑼鄉,銅鑼,C0E78,24.4897,120.7909
南投縣仁愛鄉,翠巒,01H21,24.1486366,121.1885767
屏東縣瑪家鄉,三地門,01Q93,22.7132127,120.6506538
臺南市東山區,北寮,01O20,23.2933106,120.497839
臺南市白河區,大棟山,C1O87,23.3091,120.5231
嘉義縣水上鄉,水上,C0M69,23.4197,120.3889
臺南市柳營區,柳營,C0X27,23.2572,120.3736
南投縣魚池鄉,魚池,C1H91,23.9009,120.9291
臺南市後壁區,後壁,C0X26,23.3664,120.3623
南投縣國姓鄉,北山,C1H93,23.9853,120.8748
屏東縣長治鄉,長治,C0R48,22.6931,120.5426
臺南市東山區,東河,C0X05,23.2966,120.3856
南投縣水里鄉,郡坑,swc05,23.7246256,120.862419
嘉義縣布袋鎮,布袋,C0M75,23.3809,120.1678
苗栗縣泰安鄉,象鼻(1,01E06,24.3592,120.947286
桃園市中壢區,中壢,C0C52,24.9676,121.1853
苗栗縣通霄鎮,通霄,C0E59,24.4719,120.7046
南投縣國姓鄉,北山(2,01H68,23.9685769,120.8814179
臺南市南化區,關山,C1O88,23.1734,120.5941
苗栗縣頭份鎮,珊珠湖,01E24,24.6809676,120.956277
屏東縣春日鄉,士文,01R04,22.38427005,120.70518275
臺南市南化區,關山,01O76,23.16731655,120.59970485
臺東縣海端鄉,向陽(2,01S47,23.24774,120.986637
苗栗縣大湖鄉,大湖,C0E52,24.4149,120.8709
新竹縣寶山鄉,新城國小,O1D57,24.73419,120.9678192
臺南市新營區,新營,C0X25,23.3107,120.3167
南投縣仁愛鄉,惠蓀(2,00H81,24.091197,121.033728
臺東縣東河鄉,北源,01S87,23.01872665,121.284171
南投縣信義鄉,內茅埔(2,01H78,23.696818,120.854565
苗栗縣三義鄉,火炎山,swc18,24.362964,120.725818
屏東縣三地門鄉,尾寮山,C0R10,22.8331,120.6839
南投縣國姓鄉,樟湖,C1I22,23.9053,120.8470
彰化縣鹿港鎮,鹿港,C0G64,24.0753,120.4305
臺東縣池上鄉,池上,C0S74,23.1196,121.2095
屏東縣泰武鄉,舊泰武,C0R60,22.5882,120.6649
雲林縣林內鄉,坪頂,swc14,23.7539556,120.638241
臺南市六甲區,王爺宮,C0O84,23.2213,120.3995
臺中市新社區,龍安,C1F9E,24.1605,120.8320
嘉義縣民雄鄉,民雄,C0M76,23.5518,120.4285
臺南市楠西區,楠西,C1O92,23.1835,120.4841
新竹縣新豐鄉,新豐,C0D59,24.8707,120.9772
苗栗縣後龍鎮,後龍,C0E54,24.6065,120.7839
苗栗縣造橋鄉,造橋,C0E74,24.6371,120.8648
宜蘭縣頭城鎮,龜山島,C0U75,24.8417,121.9531
高雄市六龜區,大津,C1V34,22.8883,120.6460
新竹縣竹北市,新竹,46757,24.8279,121.0142
苗栗縣大湖鄉,南湖,C1E69,24.4014,120.8375
屏東縣瑪家鄉,瑪家,C0R14,22.6829,120.6866
臺中市新社區,白毛台,C1F9D,24.1583,120.8869
苗栗縣苗栗市,苗栗,C0E75,24.5646,120.8246
臺南市六甲區,王爺宮,01O75,23.220914,120.39965
臺中市和平區,烏石坑,C1F9H,24.2791,120.9458
南投縣信義鄉,信義,C1I08,23.6897,120.8510
南投縣鹿谷鄉,鳳凰,C0I09,23.7281,120.7873
屏東縣獅子鄉,丹路國小,81R65,22.2034089,120.751307
南投縣埔里鎮,大肚城,C1H89,23.9709,120.9523
南投縣中寮鄉,蘆竹湳,C1I21,23.9340,120.8120
新竹市香山區,內湖國小,O1D58,24.742069,120.906422
臺南市將軍區,將軍,C0X28,23.2150,120.1358
臺南市白河區,白河,C0X21,23.2270,120.2563
南投縣竹山鎮,竹山,C0I11,23.7612,120.6882
屏東縣枋山鄉,枋山,C1R33,22.2469,120.6611
屏東縣鹽埔鄉,新圍,C0R16,22.7396,120.5308
南投縣仁愛鄉,清流,C1H90,24.0808,120.9630
